series_id                     	year	period	       value	footnote_codes
JTS000000000000000QUR         	2007	M05	         2.2	
JTS000000000000000QUR         	2007	M06	         2.1	
JTS000000000000000QUR         	2007	M07	         2.1	
JTS000000000000000QUR         	2007	M08	         2.2	
JTS000000000000000QUR         	2007	M09	         2.0	
JTS000000000000000QUR         	2007	M10	         2.1	
JTS000000000000000QUR         	2007	M11	         2.0	
JTS000000000000000QUR         	2007	M12	         2.0	
JTS000000000000000QUR         	2008	M01	         2.1	
JTS000000000000000QUR         	2008	M02	         2.1	
JTS000000000000000QUR         	2008	M03	         1.9	
JTS000000000000000QUR         	2008	M04	         2.1	
JTS000000000000000QUR         	2008	M05	         1.9	
JTS000000000000000QUR         	2008	M06	         1.9	
JTS000000000000000QUR         	2008	M07	         1.8	
JTS000000000000000QUR         	2008	M08	         1.8	
JTS000000000000000QUR         	2008	M09	         1.8	
JTS000000000000000QUR         	2008	M10	         1.7	
JTS000000000000000QUR         	2008	M11	         1.6	
JTS000000000000000QUR         	2008	M12	         1.5	
JTS000000000000000QUR         	2009	M01	         1.5	
JTS000000000000000QUR         	2009	M02	         1.5	
JTS000000000000000QUR         	2009	M03	         1.4	
JTS000000000000000QUR         	2009	M04	         1.3	
JTS000000000000000QUR         	2009	M05	         1.3	
JTS000000000000000QUR         	2009	M06	         1.3	
JTS000000000000000QUR         	2009	M07	         1.3	
JTS000000000000000QUR         	2009	M08	         1.2	
JTS000000000000000QUR         	2009	M09	         1.3	
JTS000000000000000QUR         	2009	M10	         1.3	
JTS000000000000000QUR         	2009	M11	         1.4	
JTS000000000000000QUR         	2009	M12	         1.4	
JTS000000000000000QUR         	2010	M01	         1.3	
JTS000000000000000QUR         	2010	M02	         1.4	
JTS000000000000000QUR         	2010	M03	         1.4	
JTS000000000000000QUR         	2010	M04	         1.5	
JTS000000000000000QUR         	2010	M05	         1.4	
JTS000000000000000QUR         	2010	M06	         1.5	
JTS000000000000000QUR         	2010	M07	         1.4	
JTS000000000000000QUR         	2010	M08	         1.4	
JTS000000000000000QUR         	2010	M09	         1.5	
JTS000000000000000QUR         	2010	M10	         1.4	
JTS000000000000000QUR         	2010	M11	         1.4	
JTS000000000000000QUR         	2010	M12	         1.5	
JTS000000000000000QUR         	2011	M01	         1.4	
JTS000000000000000QUR         	2011	M02	         1.5	
JTS000000000000000QUR         	2011	M03	         1.5	
JTS000000000000000QUR         	2011	M04	         1.4	
JTS000000000000000QUR         	2011	M05	         1.5	
JTS000000000000000QUR         	2011	M06	         1.5	
JTS000000000000000QUR         	2011	M07	         1.5	
JTS000000000000000QUR         	2011	M08	         1.5	
JTS000000000000000QUR         	2011	M09	         1.5	
JTS000000000000000QUR         	2011	M10	         1.5	
JTS000000000000000QUR         	2011	M11	         1.5	
JTS000000000000000QUR         	2011	M12	         1.5	
JTS000000000000000QUR         	2012	M01	         1.5	
JTS000000000000000QUR         	2012	M02	         1.6	
JTS000000000000000QUR         	2012	M03	         1.6	
JTS000000000000000QUR         	2012	M04	         1.6	
JTS000000000000000QUR         	2012	M05	         1.6	
JTS000000000000000QUR         	2012	M06	         1.6	
JTS000000000000000QUR         	2012	M07	         1.5	
JTS000000000000000QUR         	2012	M08	         1.5	
JTS000000000000000QUR         	2012	M09	         1.5	
JTS000000000000000QUR         	2012	M10	         1.5	
JTS000000000000000QUR         	2012	M11	         1.5	
JTS000000000000000QUR         	2012	M12	         1.5	
JTS000000000000000QUR         	2013	M01	         1.7	
JTS000000000000000QUR         	2013	M02	         1.7	
JTS000000000000000QUR         	2013	M03	         1.6	
JTS000000000000000QUR         	2013	M04	         1.7	
JTS000000000000000QUR         	2013	M05	         1.6	
JTS000000000000000QUR         	2013	M06	         1.6	
JTS000000000000000QUR         	2013	M07	         1.7	
JTS000000000000000QUR         	2013	M08	         1.7	
JTS000000000000000QUR         	2013	M09	         1.7	
JTS000000000000000QUR         	2013	M10	         1.7	
JTS000000000000000QUR         	2013	M11	         1.7	
JTS000000000000000QUR         	2013	M12	         1.7	
JTS000000000000000QUR         	2014	M01	         1.7	
JTS000000000000000QUR         	2014	M02	         1.7	
JTS000000000000000QUR         	2014	M03	         1.8	
JTS000000000000000QUR         	2014	M04	         1.8	
JTS000000000000000QUR         	2014	M05	         1.8	
JTS000000000000000QUR         	2014	M06	         1.8	
JTS000000000000000QUR         	2014	M07	         1.9	
JTS000000000000000QUR         	2014	M08	         1.8	
JTS000000000000000QUR         	2014	M09	         2.0	
JTS000000000000000QUR         	2014	M10	         1.9	
JTS000000000000000QUR         	2014	M11	         1.8	
JTS000000000000000QUR         	2014	M12	         1.8	
JTS000000000000000QUR         	2015	M01	         2.0	
JTS000000000000000QUR         	2015	M02	         1.9	
JTS000000000000000QUR         	2015	M03	         2.0	
JTS000000000000000QUR         	2015	M04	         1.9	
JTS000000000000000QUR         	2015	M05	         1.9	
JTS000000000000000QUR         	2015	M06	         1.9	
JTS000000000000000QUR         	2015	M07	         1.9	
JTS000000000000000QUR         	2015	M08	         2.0	
JTS000000000000000QUR         	2015	M09	         2.0	
JTS000000000000000QUR         	2015	M10	         2.0	
JTS000000000000000QUR         	2015	M11	         2.0	
JTS000000000000000QUR         	2015	M12	         2.1	
JTS000000000000000QUR         	2016	M01	         2.0	
JTS000000000000000QUR         	2016	M02	         2.1	
JTS000000000000000QUR         	2016	M03	         2.0	
JTS000000000000000QUR         	2016	M04	         2.1	
JTS000000000000000QUR         	2016	M05	         2.1	
JTS000000000000000QUR         	2016	M06	         2.1	
JTS000000000000000QUR         	2016	M07	         2.1	
JTS000000000000000QUR         	2016	M08	         2.1	
JTS000000000000000QUR         	2016	M09	         2.1	
JTS000000000000000QUR         	2016	M10	         2.1	
JTS000000000000000QUR         	2016	M11	         2.1	
JTS000000000000000QUR         	2016	M12	         2.1	
JTS000000000000000QUR         	2017	M01	         2.2	
JTS000000000000000QUR         	2017	M02	         2.1	
JTS000000000000000QUR         	2017	M03	         2.1	
JTS000000000000000QUR         	2017	M04	         2.1	
JTS000000000000000QUR         	2017	M05	         2.1	
JTS000000000000000QUR         	2017	M06	         2.2	
